text,label
can you top up your account automatically,automatic_top_up
I would appreciate it if I could get an item refunded,request_refund
In which countries does your app work,country_support
Can you tell me how to tell where my funds come from?,verify_source_of_funds
what is this extra charge for a withdrawal?,cash_withdrawal_charge
Is there a reason my payment is still pending?,pending_card_payment
"I've just moved address from a place in Durham to a place in Walton-On-The-Naze.  I have a new landlord at my new house and they haven't got my payment but I know I sent it on time, can you check they got it please?",transfer_not_received_by_recipient
Can I change my address?,edit_personal_details
If I top up using a European card is there a charge?,top_up_by_card_charge
Is my card frozen?,card_not_working
i tried to make a transfer to a beneficiary and it didn't go through,beneficiary_not_allowed
I had a duplicate card and got charged twice. How do I resolve this?,transaction_charged_twice
Approximately how long will an urgent transfer from China take?,transfer_timing
How many countries do you work in?,country_support
Can i make transactions before identity verification is complete?,why_verify_identity
"Hello. I tried doing a topup and I thought it worked, but now the money is no longer in my account. Can you explain?",top_up_reverted
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.,reverted_card_payment?
My refund isn't going fast enough.,Refund_not_showing_up
Was my top up reversed?,top_up_reverted
"Your top-up function isn't working, it still says pending even though I know my card works.",pending_top_up
What information do you need to verify my Source of Funds?,verify_source_of_funds
The ATM wouldn't let me withdraw cash.,declined_cash_withdrawal
Which type of card will I receive?,visa_or_mastercard
I couldn't pay with card in a shop,declined_card_payment
Someone has taken my money and I don't know who,direct_debit_payment_not_recognised
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,extra_charge_on_statement
The app reverted my recent payment,reverted_card_payment?
I need another card for a member of my family. Is this possible? How soon can I get one?,getting_spare_card
"I tried to withdraw cash and got declined, why is that?",declined_cash_withdrawal
How do I get refunded?,request_refund
My card was declined at a restaurant today and I don't know what the problem is.,card_not_working
I should have received a refund however it is not showing on my statement,Refund_not_showing_up
What should I do if my card is missing?,lost_or_stolen_card
Is there any way i get a disposable virtual card as well?,get_disposable_virtual_card
Why would my transfer be declined?,declined_transfer
How soon will I get my card?,card_delivery_estimate
